Gene type	Gene name	Gene description	NCBI gene (formerly Entrezgene) ID	Gene stable ID version
protein_coding	Foxo1	forkhead box O1 [Source:MGI Symbol;Acc:MGI:1890077]	56458	ENSMUSG00000044167.6
protein_coding	Gpr146	G protein-coupled receptor 146 [Source:MGI Symbol;Acc:MGI:1933113]	80290	ENSMUSG00000044197.8
protein_coding	Grsf1	G-rich RNA sequence binding factor 1 [Source:MGI Symbol;Acc:MGI:106479]	231413	ENSMUSG00000044221.14
protein_coding	Dnajc21	DnaJ heat shock protein family (Hsp40) member C21 [Source:MGI Symbol;Acc:MGI:1925371]	78244	ENSMUSG00000044224.16
protein_coding	Bhlha9	basic helix-loop-helix family, member a9 [Source:MGI Symbol;Acc:MGI:2444198]	320522	ENSMUSG00000044243.3
protein_coding	Pcsk9	proprotein convertase subtilisin/kexin type 9 [Source:MGI Symbol;Acc:MGI:2140260]	100102	ENSMUSG00000044254.6
protein_coding	Nrn1l	neuritin 1-like [Source:MGI Symbol;Acc:MGI:2443642]	234700	ENSMUSG00000044287.6
protein_coding	Cnr1	cannabinoid receptor 1 (brain) [Source:MGI Symbol;Acc:MGI:104615]	12801	ENSMUSG00000044288.6
protein_coding	Ubr3	ubiquitin protein ligase E3 component n-recognin 3 [Source:MGI Symbol;Acc:MGI:1861100]	68795	ENSMUSG00000044308.17
protein_coding	Trp53i13	transformation related protein 53 inducible protein 13 [Source:MGI Symbol;Acc:MGI:1915125]	216964	ENSMUSG00000044328.13
protein_coding	Ackr3	atypical chemokine receptor 3 [Source:MGI Symbol;Acc:MGI:109562]	12778	ENSMUSG00000044337.5
protein_coding	Alkbh2	alkB homolog 2, alpha-ketoglutarate-dependent dioxygenase [Source:MGI Symbol;Acc:MGI:2141032]	231642	ENSMUSG00000044339.12
protein_coding	Marveld1	MARVEL (membrane-associating) domain containing 1 [Source:MGI Symbol;Acc:MGI:2147570]	277010	ENSMUSG00000044345.9
protein_coding	Slc25a53	solute carrier family 25, member 53 [Source:MGI Symbol;Acc:MGI:1914312]	67062	ENSMUSG00000044348.14
protein_coding	P2ry4	pyrimidinergic receptor P2Y, G-protein coupled, 4 [Source:MGI Symbol;Acc:MGI:1926594]	57385	ENSMUSG00000044359.1
protein_coding	Tmem74b	transmembrane protein 74B [Source:MGI Symbol;Acc:MGI:1918629]	108832	ENSMUSG00000044364.5
protein_coding	Cxxc4	CXXC finger 4 [Source:MGI Symbol;Acc:MGI:2442112]	319478	ENSMUSG00000044365.15
protein_coding	N6amt1	N-6 adenine-specific DNA methyltransferase 1 (putative) [Source:MGI Symbol;Acc:MGI:1915018]	67768	ENSMUSG00000044442.11
protein_coding	Zfp507	zinc finger protein 507 [Source:MGI Symbol;Acc:MGI:1916378]	668501	ENSMUSG00000044452.10
protein_coding	Rin3	Ras and Rab interactor 3 [Source:MGI Symbol;Acc:MGI:2385708]	217835	ENSMUSG00000044456.16
protein_coding	Fam160a2	family with sequence similarity 160, member A2 [Source:MGI Symbol;Acc:MGI:1921599]	74349	ENSMUSG00000044465.19
protein_coding	Tent5c	terminal nucleotidyltransferase 5C [Source:MGI Symbol;Acc:MGI:1921895]	74645	ENSMUSG00000044468.14
protein_coding	2510039O18Rik	RIKEN cDNA 2510039O18 gene [Source:MGI Symbol;Acc:MGI:1924284]	77034	ENSMUSG00000044496.6
protein_coding	Hs3st5	heparan sulfate (glucosamine) 3-O-sulfotransferase 5 [Source:MGI Symbol;Acc:MGI:2441996]	319415	ENSMUSG00000044499.11
protein_coding	Zfp758	zinc finger protein 758 [Source:MGI Symbol;Acc:MGI:2385044]	224598	ENSMUSG00000044501.17
protein_coding	Bod1	biorientation of chromosomes in cell division 1 [Source:MGI Symbol;Acc:MGI:1916806]	69556	ENSMUSG00000044502.16
protein_coding	Lingo4	leucine rich repeat and Ig domain containing 4 [Source:MGI Symbol;Acc:MGI:2444651]	320747	ENSMUSG00000044505.5
protein_coding	Zfp488	zinc finger protein 488 [Source:MGI Symbol;Acc:MGI:2686052]	382867	ENSMUSG00000044519.8
protein_coding	Tram1l1	translocation associated membrane protein 1-like 1 [Source:MGI Symbol;Acc:MGI:2443503]	229801	ENSMUSG00000044528.5
protein_coding	Rps2	ribosomal protein S2 [Source:MGI Symbol;Acc:MGI:105110]	16898	ENSMUSG00000044533.15
protein_coding	Dact1	dishevelled-binding antagonist of beta-catenin 1 [Source:MGI Symbol;Acc:MGI:1891740]	59036	ENSMUSG00000044548.11
protein_coding	Tceal3	transcription elongation factor A (SII)-like 3 [Source:MGI Symbol;Acc:MGI:1913354]	594844	ENSMUSG00000044550.11
protein_coding	Rasip1	Ras interacting protein 1 [Source:MGI Symbol;Acc:MGI:1917153]	69903	ENSMUSG00000044562.12
protein_coding	Cage1	cancer antigen 1 [Source:MGI Symbol;Acc:MGI:1918463]	71213	ENSMUSG00000044566.15
protein_coding	Smim7	small integral membrane protein 7 [Source:MGI Symbol;Acc:MGI:1914068]	66818	ENSMUSG00000044600.14
protein_coding	Swi5	SWI5 recombination repair homolog (yeast) [Source:MGI Symbol;Acc:MGI:1920181]	72931	ENSMUSG00000044627.11
protein_coding	Cnrip1	cannabinoid receptor interacting protein 1 [Source:MGI Symbol;Acc:MGI:1917505]	380686	ENSMUSG00000044629.5
protein_coding	Csrnp3	cysteine-serine-rich nuclear protein 3 [Source:MGI Symbol;Acc:MGI:1925021]	77771	ENSMUSG00000044647.16
protein_coding	Plppr4	phospholipid phosphatase related 4 [Source:MGI Symbol;Acc:MGI:106530]	229791	ENSMUSG00000044667.12
protein_coding	Fzd1	frizzled class receptor 1 [Source:MGI Symbol;Acc:MGI:1196625]	14362	ENSMUSG00000044674.6
protein_coding	Tmem201	transmembrane protein 201 [Source:MGI Symbol;Acc:MGI:1196277]	230917	ENSMUSG00000044700.15
protein_coding	Palb2	partner and localizer of BRCA2 [Source:MGI Symbol;Acc:MGI:3040695]	233826	ENSMUSG00000044702.13
protein_coding	Ccnjl	cyclin J-like [Source:MGI Symbol;Acc:MGI:2685723]	380694	ENSMUSG00000044707.7
protein_coding	Kcnj10	potassium inwardly-rectifying channel, subfamily J, member 10 [Source:MGI Symbol;Acc:MGI:1194504]	16513	ENSMUSG00000044708.5
protein_coding	Gemin7	gem nuclear organelle associated protein 7 [Source:MGI Symbol;Acc:MGI:1916981]	69731	ENSMUSG00000044709.6
protein_coding	Slc38a6	solute carrier family 38, member 6 [Source:MGI Symbol;Acc:MGI:3648156]	625098	ENSMUSG00000044712.15
protein_coding	Dok7	docking protein 7 [Source:MGI Symbol;Acc:MGI:3584043]	231134	ENSMUSG00000044716.12
protein_coding	Abca6	ATP-binding cassette, sub-family A (ABC1), member 6 [Source:MGI Symbol;Acc:MGI:1923434]	76184	ENSMUSG00000044749.13
protein_coding	Trmt10c	tRNA methyltransferase 10C, mitochondrial RNase P subunit [Source:MGI Symbol;Acc:MGI:1196261]	52575	ENSMUSG00000044763.8
protein_coding	D1Ertd622e	DNA segment, Chr 1, ERATO Doi 622, expressed [Source:MGI Symbol;Acc:MGI:1277184]	52392	ENSMUSG00000044768.16
protein_coding	Scml4	Scm polycomb group protein like 4 [Source:MGI Symbol;Acc:MGI:2446140]	268297	ENSMUSG00000044770.14
protein_coding	Hjurp	Holliday junction recognition protein [Source:MGI Symbol;Acc:MGI:2685821]	212427	ENSMUSG00000044783.16
protein_coding	Hjurp	Holliday junction recognition protein [Source:MGI Symbol;Acc:MGI:2685821]	381280	ENSMUSG00000044783.16
protein_coding	Zfp36	zinc finger protein 36 [Source:MGI Symbol;Acc:MGI:99180]	22695	ENSMUSG00000044786.6
protein_coding	Fads6	fatty acid desaturase domain family, member 6 [Source:MGI Symbol;Acc:MGI:3039592]	328035	ENSMUSG00000044788.10
protein_coding	Setd2	SET domain containing 2 [Source:MGI Symbol;Acc:MGI:1918177]	235626	ENSMUSG00000044791.16
protein_coding	Cyb5d1	cytochrome b5 domain containing 1 [Source:MGI Symbol;Acc:MGI:2685586]	327951	ENSMUSG00000044795.12
protein_coding	Zfp354c	zinc finger protein 354C [Source:MGI Symbol;Acc:MGI:1353621]	30944	ENSMUSG00000044807.13
protein_coding	AY074887	cDNA sequence AY074887 [Source:MGI Symbol;Acc:MGI:3575512]	246735	ENSMUSG00000044820.6
protein_coding	Ankrd45	ankyrin repeat domain 45 [Source:MGI Symbol;Acc:MGI:1921094]	73844	ENSMUSG00000044835.15
protein_coding	Lsm11	U7 snRNP-specific Sm-like protein LSM11 [Source:MGI Symbol;Acc:MGI:1919540]	72290	ENSMUSG00000044847.13
protein_coding	Ankrd50	ankyrin repeat domain 50 [Source:MGI Symbol;Acc:MGI:2139777]	99696	ENSMUSG00000044864.16
protein_coding	Zfp444	zinc finger protein 444 [Source:MGI Symbol;Acc:MGI:1923365]	72667	ENSMUSG00000044876.15
protein_coding	Coa4	cytochrome c oxidase assembly factor 4 [Source:MGI Symbol;Acc:MGI:1915435]	68185	ENSMUSG00000044881.7
protein_coding	Uqcrq	ubiquinol-cytochrome c reductase, complex III subunit VII [Source:MGI Symbol;Acc:MGI:107807]	22272	ENSMUSG00000044894.14
protein_coding	H1f10	H1.10 linker histone [Source:MGI Symbol;Acc:MGI:2685307]	243529	ENSMUSG00000044927.6
protein_coding	Ubtd2	ubiquitin domain containing 2 [Source:MGI Symbol;Acc:MGI:2444752]	327900	ENSMUSG00000044949.4
protein_coding	Pwwp2a	PWWP domain containing 2A [Source:MGI Symbol;Acc:MGI:1918052]	70802	ENSMUSG00000044950.7
protein_coding	Pp2d1	protein phosphatase 2C-like domain containing 1 [Source:MGI Symbol;Acc:MGI:3612067]	110332	ENSMUSG00000044957.3
protein_coding	Napepld	N-acyl phosphatidylethanolamine phospholipase D [Source:MGI Symbol;Acc:MGI:2140885]	242864	ENSMUSG00000044968.16
protein_coding	Shld1	shieldin complex subunit 1 [Source:MGI Symbol;Acc:MGI:1920997]	73747	ENSMUSG00000044991.10
protein_coding	Fzd5	frizzled class receptor 5 [Source:MGI Symbol;Acc:MGI:108571]	14367	ENSMUSG00000045005.9
protein_coding	Tubg2	tubulin, gamma 2 [Source:MGI Symbol;Acc:MGI:2144208]	103768	ENSMUSG00000045007.9
protein_coding	Prrt3	proline-rich transmembrane protein 3 [Source:MGI Symbol;Acc:MGI:2444810]	210673	ENSMUSG00000045009.9
protein_coding	Cetn4	centrin 4 [Source:MGI Symbol;Acc:MGI:2677454]	207175	ENSMUSG00000045031.18
protein_coding	Prkce	protein kinase C, epsilon [Source:MGI Symbol;Acc:MGI:97599]	18754	ENSMUSG00000045038.14
protein_coding	Megf8	multiple EGF-like-domains 8 [Source:MGI Symbol;Acc:MGI:2446294]	269878	ENSMUSG00000045039.9
protein_coding	Lrfn4	leucine rich repeat and fibronectin type III domain containing 4 [Source:MGI Symbol;Acc:MGI:2385612]	225875	ENSMUSG00000045045.7
protein_coding	Pcdhb7	protocadherin beta 7 [Source:MGI Symbol;Acc:MGI:2136741]	93878	ENSMUSG00000045062.4
protein_coding	Rnf216	ring finger protein 216 [Source:MGI Symbol;Acc:MGI:1344349]	108086	ENSMUSG00000045078.12
protein_coding	Lingo2	leucine rich repeat and Ig domain containing 2 [Source:MGI Symbol;Acc:MGI:2442298]	242384	ENSMUSG00000045083.14
protein_coding	S1pr1	sphingosine-1-phosphate receptor 1 [Source:MGI Symbol;Acc:MGI:1096355]	13609	ENSMUSG00000045092.8
protein_coding	Magi1	membrane associated guanylate kinase, WW and PDZ domain containing 1 [Source:MGI Symbol;Acc:MGI:1203522]	14924	ENSMUSG00000045095.16
protein_coding	Slc25a26	solute carrier family 25 (mitochondrial carrier, phosphate carrier), member 26 [Source:MGI Symbol;Acc:MGI:1914832]	67582	ENSMUSG00000045100.11
protein_coding	Prrt2	proline-rich transmembrane protein 2 [Source:MGI Symbol;Acc:MGI:1916267]	69017	ENSMUSG00000045114.10
protein_coding	Pigw	phosphatidylinositol glycan anchor biosynthesis, class W [Source:MGI Symbol;Acc:MGI:1917575]	70325	ENSMUSG00000045140.8
protein_coding	Bola3	bolA-like 3 (E. coli) [Source:MGI Symbol;Acc:MGI:1925903]	78653	ENSMUSG00000045160.14
protein_coding	Amer3	APC membrane recruitment 3 [Source:MGI Symbol;Acc:MGI:3026939]	211383	ENSMUSG00000045174.10
protein_coding	Borcs6	BLOC-1 related complex subunit 6 [Source:MGI Symbol;Acc:MGI:1919173]	71923	ENSMUSG00000045176.3
protein_coding	Sox3	SRY (sex determining region Y)-box 3 [Source:MGI Symbol;Acc:MGI:98365]	20675	ENSMUSG00000045179.9
protein_coding	Shroom2	shroom family member 2 [Source:MGI Symbol;Acc:MGI:107194]	110380	ENSMUSG00000045180.13
protein_coding	Cirbp	cold inducible RNA binding protein [Source:MGI Symbol;Acc:MGI:893588]	12696	ENSMUSG00000045193.13
protein_coding	Dpy19l4	dpy-19-like 4 (C. elegans) [Source:MGI Symbol;Acc:MGI:2685869]	381510	ENSMUSG00000045205.16
protein_coding	Vcpip1	valosin containing protein (p97)/p47 complex interacting protein 1 [Source:MGI Symbol;Acc:MGI:1917925]	70675	ENSMUSG00000045210.8
protein_coding	Hs6st1	heparan sulfate 6-O-sulfotransferase 1 [Source:MGI Symbol;Acc:MGI:1354958]	50785	ENSMUSG00000045216.7
protein_coding	1110012L19Rik	RIKEN cDNA 1110012L19 gene [Source:MGI Symbol;Acc:MGI:1915868]	68618	ENSMUSG00000045237.5
protein_coding	Zfp688	zinc finger protein 688 [Source:MGI Symbol;Acc:MGI:1916484]	69234	ENSMUSG00000045251.13
protein_coding	Zfp574	zinc finger protein 574 [Source:MGI Symbol;Acc:MGI:2442951]	232976	ENSMUSG00000045252.11
protein_coding	Cenph	centromere protein H [Source:MGI Symbol;Acc:MGI:1349448]	26886	ENSMUSG00000045273.8
protein_coding	Dcaf12l1	DDB1 and CUL4 associated factor 12-like 1 [Source:MGI Symbol;Acc:MGI:2444462]	245404	ENSMUSG00000045284.9
protein_coding	Rtn4rl1	reticulon 4 receptor-like 1 [Source:MGI Symbol;Acc:MGI:2661375]	237847	ENSMUSG00000045287.6
protein_coding	Insig1	insulin induced gene 1 [Source:MGI Symbol;Acc:MGI:1916289]	231070	ENSMUSG00000045294.11
protein_coding	Preb	prolactin regulatory element binding [Source:MGI Symbol;Acc:MGI:1355326]	50907	ENSMUSG00000045302.13
protein_coding	Adra2c	adrenergic receptor, alpha 2c [Source:MGI Symbol;Acc:MGI:87936]	11553	ENSMUSG00000045318.6
protein_coding	Proser2	proline and serine rich 2 [Source:MGI Symbol;Acc:MGI:2442238]	227545	ENSMUSG00000045319.13
protein_coding	Cenpe	centromere protein E [Source:MGI Symbol;Acc:MGI:1098230]	229841	ENSMUSG00000045328.11
protein_coding	Zfp423	zinc finger protein 423 [Source:MGI Symbol;Acc:MGI:1891217]	94187	ENSMUSG00000045333.15
protein_coding	Sh2d5	SH2 domain containing 5 [Source:MGI Symbol;Acc:MGI:2446215]	230863	ENSMUSG00000045349.15
protein_coding	Wdr81	WD repeat domain 81 [Source:MGI Symbol;Acc:MGI:2681828]	192652	ENSMUSG00000045374.18
protein_coding	Tmem88	transmembrane protein 88 [Source:MGI Symbol;Acc:MGI:1914270]	67020	ENSMUSG00000045377.5
protein_coding	Cxcr4	chemokine (C-X-C motif) receptor 4 [Source:MGI Symbol;Acc:MGI:109563]	12767	ENSMUSG00000045382.6
protein_coding	Trim39	tripartite motif-containing 39 [Source:MGI Symbol;Acc:MGI:1890659]	79263	ENSMUSG00000045409.16
protein_coding	2410002F23Rik	RIKEN cDNA 2410002F23 gene [Source:MGI Symbol;Acc:MGI:1914226]	668661	ENSMUSG00000045411.16
protein_coding	Dipk2a	divergent protein kinase domain 2A [Source:MGI Symbol;Acc:MGI:1916111]	68861	ENSMUSG00000045414.7
protein_coding	Hnrnph2	heterogeneous nuclear ribonucleoprotein H2 [Source:MGI Symbol;Acc:MGI:1201779]	56258	ENSMUSG00000045427.13
protein_coding	Tmem60	transmembrane protein 60 [Source:MGI Symbol;Acc:MGI:2673965]	212090	ENSMUSG00000045435.9
protein_coding	Cox19	cytochrome c oxidase assembly protein 19 [Source:MGI Symbol;Acc:MGI:1915283]	68033	ENSMUSG00000045438.12
protein_coding	Ttll13	tubulin tyrosine ligase-like family, member 13 [Source:MGI Symbol;Acc:MGI:1920845]	269954	ENSMUSG00000045467.13
protein_coding	Sys1	SYS1 Golgi-localized integral membrane protein homolog (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1913710]	66460	ENSMUSG00000045503.16
protein_coding	Kcna5	potassium voltage-gated channel, shaker-related subfamily, member 5 [Source:MGI Symbol;Acc:MGI:96662]	16493	ENSMUSG00000045534.4
protein_coding	Ddx28	DEAD (Asp-Glu-Ala-Asp) box polypeptide 28 [Source:MGI Symbol;Acc:MGI:1919236]	71986	ENSMUSG00000045538.6
protein_coding	St7l	suppression of tumorigenicity 7-like [Source:MGI Symbol;Acc:MGI:2386964]	229681	ENSMUSG00000045576.16
protein_coding	Frrs1l	ferric-chelate reductase 1 like [Source:MGI Symbol;Acc:MGI:2442704]	230235	ENSMUSG00000045589.7
protein_coding	Zfp553	zinc finger protein 553 [Source:MGI Symbol;Acc:MGI:2384725]	233887	ENSMUSG00000045598.10
protein_coding	Chrm2	cholinergic receptor, muscarinic 2, cardiac [Source:MGI Symbol;Acc:MGI:88397]	243764	ENSMUSG00000045613.9
protein_coding	Esf1	ESF1 nucleolar pre-rRNA processing protein homolog [Source:MGI Symbol;Acc:MGI:1913830]	66580	ENSMUSG00000045624.15
protein_coding	Mtus1	mitochondrial tumor suppressor 1 [Source:MGI Symbol;Acc:MGI:2142572]	102103	ENSMUSG00000045636.16
protein_coding	Zfp629	zinc finger protein 629 [Source:MGI Symbol;Acc:MGI:2444524]	320683	ENSMUSG00000045639.14
protein_coding	Pid1	phosphotyrosine interaction domain containing 1 [Source:MGI Symbol;Acc:MGI:2138391]	98496	ENSMUSG00000045658.16
protein_coding	Smtnl2	smoothelin-like 2 [Source:MGI Symbol;Acc:MGI:2442764]	276829	ENSMUSG00000045667.14
protein_coding	Spred2	sprouty-related EVH1 domain containing 2 [Source:MGI Symbol;Acc:MGI:2150019]	114716	ENSMUSG00000045671.17
protein_coding	Col27a1	collagen, type XXVII, alpha 1 [Source:MGI Symbol;Acc:MGI:2672118]	373864	ENSMUSG00000045672.15
protein_coding	Pcdhb4	protocadherin beta 4 [Source:MGI Symbol;Acc:MGI:2136738]	93875	ENSMUSG00000045689.3
protein_coding	Wdr89	WD repeat domain 89 [Source:MGI Symbol;Acc:MGI:1919588]	72338	ENSMUSG00000045690.8
protein_coding	Sprn	shadow of prion protein [Source:MGI Symbol;Acc:MGI:3582583]	212518	ENSMUSG00000045733.7
protein_coding	Tssc4	tumor-suppressing subchromosomal transferable fragment 4 [Source:MGI Symbol;Acc:MGI:1861712]	56844	ENSMUSG00000045752.13
protein_coding	Zfp764	zinc finger protein 764 [Source:MGI Symbol;Acc:MGI:2443580]	233893	ENSMUSG00000045757.6
protein_coding	Ifitm10	interferon induced transmembrane protein 10 [Source:MGI Symbol;Acc:MGI:2444776]	320802	ENSMUSG00000045777.14
protein_coding	Whamm	WAS protein homolog associated with actin, golgi membranes and microtubules [Source:MGI Symbol;Acc:MGI:2142282]	434204	ENSMUSG00000045795.10
protein_coding	Zfp36l2	zinc finger protein 36, C3H type-like 2 [Source:MGI Symbol;Acc:MGI:107945]	12193	ENSMUSG00000045817.8
protein_coding	Zswim3	zinc finger SWIM-type containing 3 [Source:MGI Symbol;Acc:MGI:1914788]	67538	ENSMUSG00000045822.4
protein_coding	Ccdc9b	coiled-coil domain containing 9B [Source:MGI Symbol;Acc:MGI:2685199]	214239	ENSMUSG00000045838.8
protein_coding	Lyrm2	LYR motif containing 2 [Source:MGI Symbol;Acc:MGI:1917573]	108755	ENSMUSG00000045854.4
protein_coding	Paip2b	poly(A) binding protein interacting protein 2B [Source:MGI Symbol;Acc:MGI:2386865]	232164	ENSMUSG00000045896.14
protein_coding	Tmem268	transmembrane protein 268 [Source:MGI Symbol;Acc:MGI:1913920]	230279	ENSMUSG00000045917.17
protein_coding	Ifit2	interferon-induced protein with tetratricopeptide repeats 2 [Source:MGI Symbol;Acc:MGI:99449]	15958	ENSMUSG00000045932.12
protein_coding	Mrps12	mitochondrial ribosomal protein S12 [Source:MGI Symbol;Acc:MGI:1346333]	24030	ENSMUSG00000045948.8
protein_coding	Cavin2	caveolae associated 2 [Source:MGI Symbol;Acc:MGI:99513]	20324	ENSMUSG00000045954.7
protein_coding	Wnk1	WNK lysine deficient protein kinase 1 [Source:MGI Symbol;Acc:MGI:2442092]	232341	ENSMUSG00000045962.16
protein_coding	Gpr158	G protein-coupled receptor 158 [Source:MGI Symbol;Acc:MGI:2441697]	241263	ENSMUSG00000045967.11
protein_coding	Ing1	inhibitor of growth family, member 1 [Source:MGI Symbol;Acc:MGI:1349481]	26356	ENSMUSG00000045969.8
protein_coding	Slc25a51	solute carrier family 25, member 51 [Source:MGI Symbol;Acc:MGI:2684984]	230125	ENSMUSG00000045973.18
protein_coding	Tmem104	transmembrane protein 104 [Source:MGI Symbol;Acc:MGI:2444222]	320534	ENSMUSG00000045980.13
protein_coding	Polr2k	polymerase (RNA) II (DNA directed) polypeptide K [Source:MGI Symbol;Acc:MGI:102725]	17749	ENSMUSG00000045996.12
protein_coding	Zfp830	zinc finger protein 830 [Source:MGI Symbol;Acc:MGI:1914233]	66983	ENSMUSG00000046010.7
protein_coding	Pofut1	protein O-fucosyltransferase 1 [Source:MGI Symbol;Acc:MGI:2153207]	140484	ENSMUSG00000046020.13
protein_coding	Stard5	StAR-related lipid transfer (START) domain containing 5 [Source:MGI Symbol;Acc:MGI:2156765]	170460	ENSMUSG00000046027.17
protein_coding	Snx12	sorting nexin 12 [Source:MGI Symbol;Acc:MGI:1919331]	55988	ENSMUSG00000046032.16
protein_coding	Sbsn	suprabasin [Source:MGI Symbol;Acc:MGI:2446326]	282619	ENSMUSG00000046056.15
protein_coding	Eid2	EP300 interacting inhibitor of differentiation 2 [Source:MGI Symbol;Acc:MGI:2681174]	386655	ENSMUSG00000046058.7
protein_coding	Ppp1r15b	protein phosphatase 1, regulatory subunit 15B [Source:MGI Symbol;Acc:MGI:2444211]	108954	ENSMUSG00000046062.5
protein_coding	Lrrc8d	leucine rich repeat containing 8D [Source:MGI Symbol;Acc:MGI:1922368]	231549	ENSMUSG00000046079.16
protein_coding	Mosmo	modulator of smoothened [Source:MGI Symbol;Acc:MGI:2446240]	233812	ENSMUSG00000046096.7
protein_coding	Tmem229b	transmembrane protein 229B [Source:MGI Symbol;Acc:MGI:2444389]	268567	ENSMUSG00000046157.13
protein_coding	Gldn	gliomedin [Source:MGI Symbol;Acc:MGI:2388361]	235379	ENSMUSG00000046167.5
protein_coding	Zfp84	zinc finger protein 84 [Source:MGI Symbol;Acc:MGI:107780]	74352	ENSMUSG00000046185.10
protein_coding	Cd109	CD109 antigen [Source:MGI Symbol;Acc:MGI:2445221]	235505	ENSMUSG00000046186.8
protein_coding	Pcdhb20	protocadherin beta 20 [Source:MGI Symbol;Acc:MGI:2136758]	93891	ENSMUSG00000046191.7
protein_coding	Plaur	plasminogen activator, urokinase receptor [Source:MGI Symbol;Acc:MGI:97612]	18793	ENSMUSG00000046223.10
protein_coding	Pilra	paired immunoglobin-like type 2 receptor alpha [Source:MGI Symbol;Acc:MGI:2450529]	231805	ENSMUSG00000046245.13
protein_coding	Trarg1	trafficking regulator of GLUT4 (SLC2A4) 1 [Source:MGI Symbol;Acc:MGI:3029307]	237858	ENSMUSG00000046275.2
protein_coding	Zfp62	zinc finger protein 62 [Source:MGI Symbol;Acc:MGI:99662]	22720	ENSMUSG00000046311.13
protein_coding	Myorg	myogenesis regulating glycosidase (putative) [Source:MGI Symbol;Acc:MGI:2140300]	329828	ENSMUSG00000046312.4
protein_coding	Hs3st2	heparan sulfate (glucosamine) 3-O-sulfotransferase 2 [Source:MGI Symbol;Acc:MGI:1333802]	195646	ENSMUSG00000046321.8
protein_coding	Ermp1	endoplasmic reticulum metallopeptidase 1 [Source:MGI Symbol;Acc:MGI:106250]	226090	ENSMUSG00000046324.12
protein_coding	Slc25a23	solute carrier family 25 (mitochondrial carrier; phosphate carrier), member 23 [Source:MGI Symbol;Acc:MGI:1914222]	66972	ENSMUSG00000046329.14
protein_coding	Fam178b	family with sequence similarity 178, member B [Source:MGI Symbol;Acc:MGI:3026913]	381337	ENSMUSG00000046337.17
protein_coding	Rpl27a	ribosomal protein L27A [Source:MGI Symbol;Acc:MGI:1347076]	26451	ENSMUSG00000046364.14
protein_coding	Asphd1	aspartate beta-hydroxylase domain containing 1 [Source:MGI Symbol;Acc:MGI:2685014]	233879	ENSMUSG00000046378.11
protein_coding	Jrk	jerky [Source:MGI Symbol;Acc:MGI:106214]	16469	ENSMUSG00000046380.3
protein_coding	Pcdhb17	protocadherin beta 17 [Source:MGI Symbol;Acc:MGI:2136754]	93888	ENSMUSG00000046387.5
protein_coding	Rbp1	retinol binding protein 1, cellular [Source:MGI Symbol;Acc:MGI:97876]	19659	ENSMUSG00000046402.10
protein_coding	Yod1	YOD1 deubiquitinase [Source:MGI Symbol;Acc:MGI:2442596]	226418	ENSMUSG00000046404.5
protein_coding	Kcnk6	potassium inwardly-rectifying channel, subfamily K, member 6 [Source:MGI Symbol;Acc:MGI:1891291]	52150	ENSMUSG00000046410.10
protein_coding	Bex3	brain expressed X-linked 3 [Source:MGI Symbol;Acc:MGI:1338016]	12070	ENSMUSG00000046432.12
protein_coding	Ppm1e	protein phosphatase 1E (PP2C domain containing) [Source:MGI Symbol;Acc:MGI:2444096]	320472	ENSMUSG00000046442.4
protein_coding	Camk2n1	calcium/calmodulin-dependent protein kinase II inhibitor 1 [Source:MGI Symbol;Acc:MGI:1913509]	66259	ENSMUSG00000046447.3
protein_coding	Nexmif	neurite extension and migration factor [Source:MGI Symbol;Acc:MGI:2148050]	245555	ENSMUSG00000046449.15
protein_coding	Tmem150b	transmembrane protein 150B [Source:MGI Symbol;Acc:MGI:2679718]	330460	ENSMUSG00000046456.14
protein_coding	C1qtnf2	C1q and tumor necrosis factor related protein 2 [Source:MGI Symbol;Acc:MGI:1916433]	69183	ENSMUSG00000046491.10
protein_coding	Tafa4	TAFA chemokine like family member 4 [Source:MGI Symbol;Acc:MGI:2444563]	320701	ENSMUSG00000046500.8
protein_coding	Cox17	cytochrome c oxidase assembly protein 17, copper chaperone [Source:MGI Symbol;Acc:MGI:1333806]	12856	ENSMUSG00000046516.10
protein_coding	Golph3l	golgi phosphoprotein 3-like [Source:MGI Symbol;Acc:MGI:1917129]	229593	ENSMUSG00000046519.15
protein_coding	Zfp526	zinc finger protein 526 [Source:MGI Symbol;Acc:MGI:2445181]	210172	ENSMUSG00000046541.9
protein_coding	Fam43a	family with sequence similarity 43, member A [Source:MGI Symbol;Acc:MGI:2676309]	224093	ENSMUSG00000046546.3
protein_coding	Unc119b	unc-119 lipid binding chaperone B [Source:MGI Symbol;Acc:MGI:2147162]	106840	ENSMUSG00000046562.5
protein_coding	Zfp518b	zinc finger protein 518B [Source:MGI Symbol;Acc:MGI:2140750]	100515	ENSMUSG00000046572.10
protein_coding	Prr12	proline rich 12 [Source:MGI Symbol;Acc:MGI:2679002]	233210	ENSMUSG00000046574.8
protein_coding	Lrrc8e	leucine rich repeat containing 8 family, member E [Source:MGI Symbol;Acc:MGI:1919517]	72267	ENSMUSG00000046589.7
protein_coding	B3gntl1	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase-like 1 [Source:MGI Symbol;Acc:MGI:2441705]	210004	ENSMUSG00000046605.14
